timestamp,spot,gex_total_vol,zero_gamma
14:14:06,639.2,4.6,0
14:20:02,639.2,4.6,0
14:25:01,639.2,4.6,0
14:30:02,643.16,0,0
14:35:02,643.2,7.769,0
14:40:02,644.77,16.321,0
14:45:02,645.6,21.187,0
14:50:02,649.29,21.091,0
14:55:02,649.91,23.852,0
15:00:01,650.83,45.523,0
15:05:02,650.36,50.521,0
15:10:02,649.65,49.076,0
15:15:02,650.53,52.536,0
15:20:01,649.2,44.109,0
15:25:02,649.34,46.331,0
15:30:02,649.67,49.475,0
15:35:02,648.93,48.708,0
15:40:02,648.81,42.409,0
15:45:03,648.43,42.188,0
15:50:02,649.35,46.512,0
15:55:02,647.97,27.652,0
16:00:02,648.73,32.386,0
16:05:02,647.95,28.59,0
16:10:02,648.19,32.891,0
16:15:02,647.73,22.486,0
16:20:02,647.47,15.614,0
16:25:02,648.83,54.637,0
16:30:02,649.85,67.196,0
16:35:02,650.24,85.818,0
16:40:02,650.17,72.084,0
16:45:02,651.62,93.66,0
16:50:02,651.03,98.08,0
20:49:52,652.07,179.789,0
