timestamp,spot,gex_total_vol,zero_gamma
14:14:06,49.75,0.765,0
14:20:02,49.75,0.765,0
14:25:01,49.75,0.765,0
14:30:02,50.61,0,0
14:35:02,50.93,-0.03,0
14:40:02,51.04,0.138,0
14:45:02,51.23,0.321,0
14:50:02,51.49,0.401,0
14:55:02,51.58,0.307,0
15:00:01,51.64,0.112,0
15:05:02,51.6,0.143,0
15:10:02,51.47,0.268,0
15:15:02,51.43,0.311,0
15:20:01,51.36,0.321,0
15:25:02,51.43,0.353,0
15:30:02,51.58,0.484,0
15:35:02,51.38,0.422,0
15:40:02,51.37,0.429,0
15:45:03,51.37,0.432,0
15:50:02,51.39,0.435,0
15:55:02,51.28,0.523,0
16:00:02,51.36,0.487,0
