timestamp,spot,gex_total_vol,zero_gamma
14:14:06,38.85,0.139,0
14:20:02,38.85,0.139,0
14:25:01,38.85,0.139,0
14:30:02,37.75,0,0
14:35:02,37.77,0.009,0
14:40:02,37.83,0.018,0
14:45:02,37.96,0.021,0
14:50:02,37.66,0.014,0
14:55:02,37.77,0.03,0
15:00:01,37.64,0.028,0
15:05:02,37.75,0.027,0
15:10:02,37.79,0.036,0
15:15:02,37.73,0.028,0
15:20:01,37.66,0.028,0
15:25:02,37.66,0.03,0
15:30:02,37.63,0.032,0
15:35:02,37.82,0.031,0
15:40:02,37.8,0.035,0
15:45:03,37.76,0.035,0
15:50:02,37.77,0.04,0
15:55:02,37.64,0.038,0
16:00:02,37.61,0.038,0
16:05:02,37.63,0.036,0
16:10:02,37.54,0.05,0
16:15:02,37.56,0.047,0
16:20:02,37.66,0.048,0
16:25:02,37.66,0.05,0
16:30:02,37.66,0.05,0
16:35:02,37.67,0.05,0
16:40:02,37.65,0.048,0
16:45:02,37.64,0.048,0
16:50:02,37.6,0.051,0
20:49:52,36.88,0.052,0
