timestamp,spot,gex_total_vol,zero_gamma
14:14:06,19.49,0.236,0
14:20:02,19.49,0.236,0
14:25:01,19.49,0.236,0
14:30:02,19.49,0.236,0
14:35:02,18.69,0.007,0
14:40:02,18.65,0.044,0
14:45:02,18.82,0.058,0
14:50:02,18.61,0.056,0
14:55:02,18.68,0.053,0
15:00:01,18.66,0.031,0
15:05:02,18.69,0.045,0
15:10:02,18.74,0.054,0
15:15:02,18.75,0.053,0
15:20:01,18.69,0.053,0
15:25:02,18.67,0.053,0
15:30:02,18.58,0.055,0
15:35:02,18.8,0.057,0
15:40:02,18.79,0.059,0
15:45:03,18.77,0.059,0
15:50:02,18.75,0.059,0
15:55:02,18.75,0.06,0
16:00:02,18.64,0.058,0
16:05:02,18.67,0.057,0
16:10:02,18.58,0.056,0
16:15:02,18.61,0.053,0
16:20:02,18.66,0.053,0
16:25:02,18.59,0.055,0
16:30:02,18.52,0.053,0
16:35:02,18.53,0.054,0
16:40:02,18.47,0.052,0
16:45:02,18.43,0.05,0
16:50:02,18.35,0.051,0
20:49:52,18.04,0.019,0
